Voltage[V],Pressure[Torr],MeanDriftSpeed[cm/us],StdDev[cm/us]
1800,703.149,0.338016,0.00024394
1800,897.541,0.319948,0.000237821
1800,1000.95,0.314209,0.000224724
1800,1003.96,0.314608,0.000203878
1800,1005.97,0.312162,0.000207627
1800,1106.14,0.305989,0.000221369
1800,1304.83,0.294039,0.000212907
1800,1498.7,0.285453,0.000215579
1900,158.027,0.788056,0.00163789
1900,305.836,0.438361,0.000560344
1900,497.813,0.374181,0.000326738
1900,703.149,0.342146,0.000323823
1900,897.541,0.324292,0.000243098
1900,1000.95,0.318315,0.000244027
1900,1003.96,0.317763,0.000206362
1900,1005.97,0.315918,0.000225875
1900,1106.14,0.310118,0.00024587
1900,1304.83,0.296748,0.000189121
1900,1498.7,0.289461,0.000223552
