Voltage[V],Pressure[Torr],MeanDriftSpeed[cm/us],StdDev[cm/us]
1603,1003.96,0.287766,0.010762
1603,1005.97,0.284238,0.00937858
1603,1106.14,0.275845,0.00984616
1603,1498.7,0.257048,0.00764141
1700,158.027,0.528095,0.0829409
1700,305.836,0.384841,0.0503427
1700,497.813,0.341444,0.0154366
1700,703.149,0.312885,0.0102805
1700,1000.95,0.289373,0.010204
1700,1003.96,0.294497,0.0105874
1700,1005.97,0.289785,0.0101063
1700,1106.14,0.279018,0.00936954
1700,1498.7,0.261305,0.0092624
1800,158.027,0.559067,0.0863313
1800,305.836,0.393625,0.0588532
1800,497.813,0.345757,0.0171037
1800,703.149,0.317721,0.0108852
1800,1000.95,0.292936,0.0103089
1800,1003.96,0.295807,0.00853283
1800,1005.97,0.2944,0.010711
1800,1106.14,0.28582,0.0114023
1800,1498.7,0.263759,0.00871894
1900,158.027,0.582045,0.0858806
1900,305.836,0.398603,0.0611475
1900,497.813,0.351142,0.0192692
1900,703.149,0.320234,0.0101012
1900,1000.95,0.298219,0.0116231
1900,1003.96,0.299624,0.00906188
1900,1005.97,0.297457,0.0102219
1900,1106.14,0.28818,0.0102384
1900,1498.7,0.270541,0.0115096
200,897.541,0.225678,0.000479322
200,1304.83,0.211997,0.000302739
225,897.541,0.225704,0.000274825
225,1304.83,0.211981,0.000303247
250,897.541,0.225733,0.000341904
250,1304.83,0.211999,0.000357077
300,897.541,0.225828,0.000786571
300,1304.83,0.212187,0.000370261
350,897.541,0.226106,0.000956637
350,1304.83,0.212216,0.00056905
400,897.541,0.226189,0.0013417
400,1304.83,0.212339,0.000953286
500,897.541,0.227624,0.00412288
500,1304.83,0.213579,0.00303449
600,897.541,0.229276,0.00771715
600,1304.83,0.215548,0.00637063
700,897.541,0.23909,0.00930217
700,1304.83,0.221713,0.00734817
800,897.541,0.248249,0.00877546
800,1304.83,0.228196,0.00791999
850,897.541,0.252001,0.00812552
850,1304.83,0.230852,0.00748451
900,897.541,0.255944,0.00843297
