Voltages [V],Pressures [Tor],Drift Speed [cm/us],SD [cm/us],Drift Speed [cm/s],SD [cm/s],,,
850,497.8134186,0.290509,0.0117212,290509,11721.2,,,
850,703.1486686,0.287868,0.00960165,287868,9601.65,,,
850,897.5405459,0.291166,0.012544,291166,12544,,,
850,1000.952929,0.287915,0.0107159,287915,10715.9,,,
850,1003.961493,0.289036,0.0102759,289036,10275.9,,,
850,1005.967095,0.29418,0.0139715,294180,13971.5,,,
850,1106.136614,0.287723,0.0097174,287723,9717.4,,,
850,1304.82908,0.287587,0.00837228,287587,8372.28,,,
850,1498.695034,0.292911,0.0132773,292911,13277.3,,,
900,158.0272814,0.293458,0.0101897,293458,10189.7,,,
900,305.8362458,0.294036,0.0108248,294036,10824.8,,,
900,497.8134186,0.291131,0.00858898,291131,8588.98,,,
900,703.1486686,0.291465,0.00817204,291465,8172.04,,,
900,897.5405459,0.293185,0.0100158,293185,10015.8,,,
900,1000.952929,0.291364,0.00805667,291364,8056.67,,,
900,1003.961493,0.297548,0.0124984,297548,12498.4,,,
900,1005.967095,0.294513,0.0112727,294513,11272.7,,,
900,1106.136614,0.293187,0.0102621,293187,10262.1,,,
900,1304.82908,0.292074,0.00916106,292074,9161.06,,,
900,1498.695034,0.292085,0.00896724,292085,8967.24,,,
1000,158.0272814,0.305207,0.011964,305207,11964,,,
1000,305.8362458,0.297032,0.00796596,297032,7965.96,,,
1000,497.8134186,0.296986,0.00782629,296986,7826.29,,,
1000,703.1486686,0.297307,0.00790621,297307,7906.21,,,
1000,897.5405459,0.298484,0.00923081,298484,9230.81,,,
1000,1000.952929,0.300618,0.0104066,300618,10406.6,,,
1000,1003.961493,0.298592,0.00892092,298592,8920.92,,,
1000,1005.967095,0.298451,0.00934895,298451,9348.95,,,
1000,1106.136614,0.301873,0.0112103,301873,11210.3,,,
1000,1304.82908,0.296918,0.00760873,296918,7608.73,,,
1000,1498.695034,0.297547,0.00830865,297547,8308.65,,,
1100,158.0272814,0.302245,0.00748658,302245,7486.58,,,
1100,305.8362458,0.302489,0.00784797,302489,7847.97,,,
1100,497.8134186,0.301734,0.00687397,301734,6873.97,,,
1100,703.1486686,0.301391,0.00645001,301391,6450.01,,,
1100,897.5405459,0.301817,0.00686561,301817,6865.61,,,
1100,1000.952929,0.303071,0.00798899,303071,7988.99,,,
1100,1003.961493,0.308077,0.0102678,308077,10267.8,,,
1100,1005.967095,0.301635,0.00650678,301635,6506.78,,,
1100,1106.136614,0.302889,0.00774773,302889,7747.73,,,
1100,1304.82908,0.302463,0.00770614,302463,7706.14,,,
1100,1498.695034,0.302064,0.00716621,302064,7166.21,,,
1200,158.0272814,0.307923,0.00810168,307923,8101.68,,,
1200,305.8362458,0.304664,0.0055886,304664,5588.6,,,
1200,497.8134186,0.305806,0.0064057,305806,6405.7,,,
1200,703.1486686,0.304867,0.00563052,304867,5630.52,,,
1200,897.5405459,0.304867,0.00548028,304867,5480.28,,,
1200,1000.952929,0.305212,0.00581426,305212,5814.26,,,
1200,1003.961493,0.305029,0.00572476,305029,5724.76,,,
1200,1005.967095,0.304676,0.00538607,304676,5386.07,,,
1200,1106.136614,0.304879,0.00565967,304879,5659.67,,,
1200,1304.82908,0.305606,0.00639569,305606,6395.69,,,
1200,1498.695034,0.304752,0.00530444,304752,5304.44,,,
1300,158.0272814,0.309478,0.00476621,309478,4766.21,,,
1300,305.8362458,0.30971,0.00522309,309710,5223.09,,,
1300,497.8134186,0.310179,0.0050223,310179,5022.3,,,
1300,703.1486686,0.312551,0.00580197,312551,5801.97,,,
1300,897.5405459,0.309902,0.00534877,309902,5348.77,,,
1300,1000.952929,0.309806,0.0051974,309806,5197.4,,,
1300,1003.961493,0.309331,0.00473506,309331,4735.06,,,
1300,1005.967095,0.30938,0.00483517,309380,4835.17,,,
1300,1106.136614,0.310158,0.00529,310158,5290,,,
1300,1304.82908,0.309904,0.00543652,309904,5436.52,,,
1300,1498.695034,0.309903,0.00529467,309903,5294.67,,,
1400,158.0272814,0,0,0,0,,,
1400,305.8362458,0,0,0,0,,,
1400,497.8134186,0,0,0,0,,,
1400,703.1486686,0,0,0,0,,,
1400,897.5405459,0,0,0,0,,,
1400,1000.952929,0,0,0,0,,,
1400,1003.961493,0,0,0,0,,,
1400,1005.967095,0,0,0,0,,,
1400,1106.136614,0,0,0,0,,,
1400,1304.82908,0,0,0,0,,,
1400,1498.695034,0,0,0,0,,,
1500,158.0272814,0,0,0,0,,,
1500,305.8362458,0,0,0,0,,,
1500,497.8134186,0,0,0,0,,,
1500,703.1486686,0,0,0,0,,,
1500,897.5405459,0,0,0,0,,,
1500,1000.952929,0,0,0,0,,,
1500,1003.961493,0,0,0,0,,,
1500,1005.967095,0,0,0,0,,,
1500,1106.136614,0,0,0,0,,,
1500,1304.82908,0,0,0,0,,,
1500,1498.695034,0,0,0,0,,,
1600,158.0272814,0,0,0,0,,,
1600,305.8362458,0,0,0,0,,,
1600,497.8134186,0,0,0,0,,,
1600,703.1486686,0,0,0,0,,,
1600,897.5405459,0,0,0,0,,,
1600,1000.952929,0,0,0,0,,,
1600,1003.961493,0,0,0,0,,,
1600,1005.967095,0,0,0,0,,,
1600,1106.136614,0,0,0,0,,,
1600,1304.82908,0,0,0,0,,,
1600,1498.695034,0,0,0,0,,,
1603,158.0272814,0.336548,0.00709423,336548,7094.23,,,
1603,305.8362458,0.338161,0.00552633,338161,5526.33,,,
1603,497.8134186,0.336769,0.00692023,336769,6920.23,,,
1603,703.1486686,0.336436,0.00734601,336436,7346.01,,,
1603,897.5405459,0.337571,0.00602381,337571,6023.81,,,
1603,1000.952929,0.337548,0.00635536,337548,6355.36,,,
1603,1003.961493,0.337751,0.00608866,337751,6088.66,,,
1603,1005.967095,0.337931,0.00596803,337931,5968.03,,,
1603,1106.136614,0.333536,0.00845708,333536,8457.08,,,
1603,1304.82908,0.338119,0.00519283,338119,5192.83,,,
1603,1498.695034,0.332704,0.00874352,332704,8743.52,,,
1700,158.0272814,0.337884,0.00847069,337884,8470.69,,,
1700,305.8362458,0.340811,0.00621694,340811,6216.94,,,
1700,497.8134186,0.339768,0.00711687,339768,7116.87,,,
1700,703.1486686,0.340668,0.00612282,340668,6122.82,,,
1700,897.5405459,0.33949,0.00752925,339490,7529.25,,,
1700,1000.952929,0.34074,0.00614472,340740,6144.72,,,
1700,1003.961493,0.337459,0.00845942,337459,8459.42,,,
1700,1005.967095,0.339301,0.00777307,339301,7773.07,,,
1700,1106.136614,0.339734,0.00723105,339734,7231.05,,,
1700,1304.82908,0.338392,0.00808488,338392,8084.88,,,
1700,1498.695034,0.337753,0.0084362,337753,8436.2,,,
1800,158.0272814,0.342162,0.00804309,342162,8043.09,,,
1800,305.8362458,0.341238,0.00881267,341238,8812.67,,,
1800,497.8134186,0.342945,0.00732849,342945,7328.49,,,
1800,703.1486686,0.342469,0.00782548,342469,7825.48,,,
1800,897.5405459,0.342967,0.0070802,342967,7080.2,,,
1800,1000.952929,0.342602,0.00772374,342602,7723.74,,,
1800,1003.961493,0.341688,0.00823697,341688,8236.97,,,
1800,1005.967095,0.341449,0.00857481,341449,8574.81,,,
1800,1106.136614,0.342532,0.00768296,342532,7682.96,,,
1800,1304.82908,0.342726,0.00755448,342726,7554.48,,,
